# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the column field names, which
# are also described below:
#   name = Likely burst origin
#   time = Burst start time (MJD UT)
#   instr = Instrument label
#   bpflux = Bolometric peak flux (from blackbody fit)
#   bpfluxe = Uncertainty on bolometric peak flux
#   rexp = Photospheric radius-expansion flag
#
#
# For a complete description of the table fields and units, see
#   https://burst.sci.monash.edu/static/html/columns.html
#
"name"	"time"	"instr"	"bpflux"	"bpfluxe"	"rexp"
"4U 1728-34"	50325.05039	SW2	58.76	17.63	1.91	
"SLX 1744-300"	50325.05512	SW2	58.70	7.61	1.61	
"4U 1728-34"	50325.25229	SW2	73.41	26.97	1.71	
"KS 1731-260"	50325.32613	SW2	59.29	15.59	1.85	
"4U 1728-34"	50325.33950	SW2	34.62	12.03	1.64	
"4U 1728-34"	50325.47865	SW2	73.24	28.26	1.92	
"1A 1742-294"	50325.51016	SW2	12.32	4.98	1.16	
"1A 1742-294"	50325.59435	SW2	18.39	5.55	1.05	
"4U 1728-34"	50325.60508	SW2	63.24	17.22	1.69	
"4U 1728-34"	50325.72490	SW2	34.79	9.82	1.39	
"4U 1728-34"	50325.87390	SW2	51.46	11.94	1.42	
"SAX J1806.5-2215"	50325.87552	SW2	38.24	11.88	1.03	
"4U 1728-34"	50325.97854	SW2	53.54	22.32	1.67	
"4U 1702-429"	50329.81806	SW2	88.81	12.34	1.83	
"4U 1728-34"	50329.86958	SW2	69.88	20.28	1.94	
"4U 1728-34"	50330.00293	SW2	82.44	26.27	1.96	
"KS 1731-260"	50330.00328	SW2	61.24	20.75	1.97	
"4U 1728-34"	50330.16169	SW2	96.73	27.94	1.95	
"4U 1722-30"	50330.19555	SW2	125.25	21.79	2.00	
"4U 1728-34"	50330.29426	SW2	73.00	26.48	1.77	
"4U 1728-34"	50330.41919	SW2	103.89	34.69	1.92	
"4U 1705-44"	50330.47733	SW2	36.86	12.51	1.53	
"4U 1728-34"	50330.56000	SW2	98.21	29.84	1.91	
"4U 1728-34"	50330.69626	SW2	54.99	12.13	1.88	
"4U 1812-12"	50337.30821	SW2	224.69	38.11	2.00	
"4U 1608-522"	50338.17791	SW2	178.45	22.15	1.99	
"4U 1702-429"	50338.44609	SW2	97.69	13.60	1.89	
"SAX J1808.4-3658"	50339.00278	SW2	281.20	53.77	2.00	
"4U 1728-34"	50339.17818	SW2	48.77	18.42	1.85	
"4U 1705-44"	50339.26946	SW2	21.32	6.38	1.49	
"4U 1728-34"	50339.39093	SW2	81.40	22.54	1.76	
"4U 1820-303"	50339.46990	SW2	50.80	26.82	2.00	
"SAX J1808.4-3658"	50339.52864	SW2	234.19	40.80	2.00	
"4U 1728-34"	50339.59968	SW2	70.30	12.88	1.91	
"4U 1728-34"	50339.80430	SW2	60.11	13.60	1.64	
"GS 1826-24"	50340.38702	SW2	32.98	5.49	1.00	
"XB 1832-330"	50340.39847	SW2	52.52	18.10	1.14	
"4U 1820-303"	50340.45744	SW2	70.81	33.21	2.00	
"4U 1820-303"	50340.61113	SW2	55.72	16.84	2.00	
"Ser X-1"	50340.90768	SW2	64.04	34.07	1.96	
"4U 1728-34"	50341.31860	SW2	57.98	18.64	1.87	
"4U 1728-34"	50341.51250	SW2	40.48	7.40	1.49	
"4U 1705-44"	50341.53082	SW2	21.16	7.52	1.60	
"4U 1820-303"	50341.59549	SW2	68.05	35.14	2.00	
"4U 1728-34"	50341.73682	SW2	81.68	22.64	1.85	
"4U 1820-303"	50341.73973	SW2	97.11	41.70	2.00	
"KS 1731-260"	50341.99167	SW1	62.03	22.75	1.82	
"4U 1702-429"	50342.05704	SW1	119.39	18.78	1.92	
"4U 1728-34"	50342.12985	SW1	83.79	24.58	1.87	
"KS 1731-260"	50342.25867	SW1	25.02	11.06	1.62	
"4U 1820-303"	50342.33496	SW1	106.45	32.44	2.00	
"4U 1728-34"	50342.37719	SW1	82.20	16.83	1.89	
"GRS 1741.9-2853"	50342.40041	SW1	52.33	8.16	1.37	
"4U 1820-303"	50342.47933	SW1	66.34	10.62	2.00	
"GX 17+2"	50342.48628	SW1	27.98	2.09	1.63	
"GS 1826-24"	50342.54202	SW1	55.71	8.39	1.00	
"XB 1832-330"	50342.54744	SW1	57.13	26.11	1.06	
"4U 1728-34"	50343.07886	SW1	53.85	16.52	1.65	
"KS 1731-260"	50343.20496	SW1	65.05	19.52	1.90	
"4U 1728-34"	50343.31453	SW1	165.77	29.28	1.79	
"4U 1820-303"	50343.32149	SW1	45.35	11.93	2.00	
"KS 1731-260"	50343.52229	SW1	95.02	38.42	1.88	
"4U 1254-69"	50343.64905	XPa	4.05	0.15	1.00	
"GS 1826-24"	50343.75273	SW1	54.29	10.64	1.00	
"GX 17+2"	50343.79393	SW1	10.09	1.29	1.65	
"KS 1731-260"	50343.95285	SW1	103.51	48.44	1.95	
"Ser X-1"	50345.12771	SW2	19.69	6.43	1.43	
"4U 1608-522"	50348.66478	SW2	172.02	36.09	1.95	
"4U 1728-34"	50348.69780	SW2	88.67	14.23	1.92	
"4U 1702-429"	50348.88752	SW2	100.35	16.70	1.89	
"4U 1728-34"	50348.90879	SW2	58.13	8.52	1.67	
"4U 1722-30"	50348.93794	SW2	73.75	15.57	2.00	
"4U 1608-522"	50349.29815	SW2	199.07	60.37	1.93	
"RX J1718.4-4029"	50349.31318	SW2	45.57	5.98	2.00	
"4U 1728-34"	50349.42856	SW2	56.41	8.11	1.86	
"4U 1705-44"	50349.47710	SW2	44.53	10.11	1.70	
"4U 1702-429"	50349.83916	SW2	114.68	16.03	1.87	
"4U 1728-34"	50349.89179	SW2	72.09	10.57	1.82	
"4U 1636-536"	50349.93785	SW2	20.61	11.93	1.81	
"4U 1728-34"	50350.08132	SW2	54.46	8.57	1.66	
"4U 1746-37"	50350.09976	SW2	16.21	5.11	1.39	
"4U 1728-34"	50350.29284	SW2	59.47	9.33	1.75	
"4U 1705-44"	50350.36713	SW2	36.96	9.23	1.67	
"4U 1728-34"	50350.49890	SW2	47.39	7.89	1.61	
"4U 1702-429"	50350.75772	SW2	100.49	39.41	1.89	
"4U 1608-522"	50351.02101	SW2	52.57	16.37	1.40	
"4U 1636-536"	50351.07714	SW2	105.44	46.58	1.89	
"4U 1728-34"	50351.08942	SW2	64.13	24.71	1.93	
"4U 1705-44"	50351.21826	SW2	60.07	14.20	1.70	
"4U 1728-34"	50351.30574	SW2	49.26	21.11	1.43	
"GS 1826-24"	50351.52707	SW1	42.55	9.52	1.00	
"XB 1916-053"	50351.96013	SW1	16.61	7.03	1.49	
"GS 1826-24"	50352.25149	SW1	50.00	16.13	1.00	
"GS 1826-24"	50352.49185	SW1	36.19	9.61	1.00	
"GS 1826-24"	50352.97677	SW1	42.26	7.35	1.00	
"4U 1728-34"	50356.39336	SW1	34.24	10.77	1.54	
"GRS 1741.9-2853"	50356.39441	SW1	68.71	9.35	1.60	
"1A 1742-294"	50356.53858	SW1	23.63	6.78	1.07	
"4U 1728-34"	50356.60697	SW1	136.94	38.40	1.70	
"1A 1742-294"	50356.67825	SW1	14.02	4.39	1.07	
"2S 0918-549"	50357.88531	SW1	128.54	16.08	2.00	
"EXO 0748-676"	50358.25334	XPa	14.26	0.48	1.00	
"EXO 0748-676"	50358.39299	XPa	10.90	0.36	1.00	
"4U 1636-536"	50361.49186	SW1	80.55	13.54	1.96	
"1A 1742-294"	50366.71269	SW1	18.59	6.19	1.06	
"GS 1826-24"	50366.78723	SW1	58.94	17.68	1.00	
"4U 1728-34"	50366.89212	SW1	100.56	16.17	1.90	
"4U 1702-429"	50366.96566	SW1	105.95	46.86	1.57	
"GS 1826-24"	50367.03030	SW1	49.27	15.61	1.00	
"SLX 1744-300"	50367.03388	SW1	50.97	7.62	1.18	
"1A 1742-294"	50367.11350	SW1	12.24	4.44	1.06	
"1A 1742-294"	50367.21839	SW1	16.53	4.57	1.06	
"SAX J1806.5-2215"	50367.22176	SW1	44.47	14.85	1.05	
"4U 1702-429"	50367.45218	SW1	114.63	57.23	1.61	
"GS 1826-24"	50367.51005	SW1	39.75	12.83	1.00	
"4U 1728-34"	50367.75516	SW1	101.96	15.27	1.84	
"4U 1728-34"	50367.95249	SW1	117.26	20.57	1.82	
"4U 1702-429"	50368.11828	SW1	217.03	124.29	1.73	
"4U 1728-34"	50368.16678	SW1	89.77	15.04	1.87	
"4U 1722-30"	50368.30650	SW1	76.57	11.51	2.00	
"GS 1826-24"	50368.44044	SW1	46.35	19.75	1.00	
"4U 1728-34"	50368.52664	SW1	101.10	30.05	1.86	
"1A 1742-294"	50368.58831	SW1	17.05	6.22	1.06	
"SLX 1744-300"	50368.76683	SW1	17.26	7.29	1.08	
"4U 1702-429"	50368.83684	SW1	126.60	55.49	1.66	
"GS 1826-24"	50368.90365	SW1	42.58	9.61	1.00	
"SAX J1808.4-3658"	50369.12638	SW1	282.09	42.52	2.00	
"4U 1728-34"	50369.25912	SW1	92.67	17.00	1.82	
"4U 1702-429"	50369.26008	SW1	80.01	15.05	1.73	
"4U 1705-44"	50369.26386	SW1	51.62	15.95	1.50	
"4U 1746-37"	50381.10315	XPa	4.46	0.36	1.00	
"4U 1746-37"	50381.23701	XPa	4.72	0.37	1.00	
"4U 1746-37"	50381.37557	XPa	5.68	0.40	1.00	
"GS 1826-24"	50382.15781	SW1	32.68	4.98	1.00	
"4U 1728-34"	50382.35005	SW1	103.87	35.62	1.92	
"GS 1826-24"	50383.09481	SW1	36.76	4.94	1.00	
"4U 1728-34"	50383.15494	SW1	72.73	40.80	1.81	
"4U 1746-37"	50383.25288	XPa	5.22	0.40	1.00	
"GS 1826-24"	50383.32457	SW1	31.91	4.88	1.00	
"4U 1746-37"	50383.37629	XPa	6.47	0.43	1.00	
"4U 1728-34"	50383.38524	SW1	86.09	41.16	1.77	
"4U 1746-37"	50383.38677	XPa	0.97	0.08	1.00	
"4U 1728-34"	50383.64460	SW1	104.45	40.62	1.83	
"GX 17+2"	50383.64745	SW1	13.56	1.78	1.67	
"KS 1731-260"	50383.79225	SW1	75.80	28.33	1.56	
"GS 1826-24"	50384.24640	SW1	35.88	5.67	1.00	
"4U 1728-34"	50384.44972	SW1	83.00	37.23	1.92	
"4U 1705-44"	50385.03559	SW2	61.49	22.08	1.56	
"4U 1702-429"	50385.11381	SW2	62.85	22.10	1.56	
"4U 1636-536"	50385.16030	SW2	88.83	41.23	1.99	
"XB 1832-330"	50385.19209	SW2	50.86	37.84	1.05	
"4U 1728-34"	50385.26156	SW2	75.83	32.18	1.96	
"XB 1916-053"	50385.29016	XPa	26.44	1.04	2.00	
"4U 1728-34"	50385.51143	SW2	117.40	51.46	1.93	
"4U 1746-37"	50387.38692	XPa	5.11	0.42	1.00	
"4U 1746-37"	50387.42792	XPa	1.11	0.08	1.00	
"4U 1746-37"	50387.75200	XPa	5.66	0.40	1.00	
"4U 1746-37"	50387.75765	XPa	1.04	0.07	1.00	
"MXB 1730-335"	50393.83386	XPa	11.11	0.63	1.00	
"4U 1722-30"	50395.29200	XPa	68.93	1.64	2.00	
"XB 1832-330"	50395.96374	SW1	25.72	7.49	1.02	
"GS 1826-24"	50396.00691	SW1	15.96	6.99	1.00	
"MXB 1730-335"	50396.04602	XPa	5.89	0.41	1.00	
"EXO 0748-676"	50397.53640	SW1	14.33	3.87	1.00	
"EXO 0748-676"	50398.89056	SW1	16.25	6.28	1.00	
"MXB 1730-335"	50398.91159	XPa	1.15	0.10	1.00	
"4U 1254-69"	50409.42653	SW2	10.76	9.73	1.28	
"EXO 0748-676"	50411.05463	SW2	18.57	9.13	1.00	
"4U 1636-536"	50445.94401	XPa	77.14	1.21	2.00	
"4U 1636-536"	50445.99586	XPa	18.52	0.67	1.00	
"4U 1636-536"	50446.97691	XPa	73.46	1.56	2.00	
"4U 1636-536"	50448.73391	XPa	71.11	1.65	2.00	
"EXO 0748-676"	50449.81248	SW2	13.64	5.34	1.00	
"EXO 0748-676"	50450.21751	SW2	23.19	12.01	1.00	
"EXO 0748-676"	50450.42562	SW2	13.48	6.28	1.00	
"EXO 0748-676"	50455.16805	SW2	9.86	2.98	1.00	
"EXO 0748-676"	50455.38344	SW2	23.82	7.55	1.00	
"4U 1254-69"	50456.03033	SW2	4.06	1.55	1.10	
"4U 1246-588"	50461.29495	SW1	132.44	31.70	2.00	
"EXO 0748-676"	50463.11224	SW2	14.40	5.60	1.00	
"EXO 0748-676"	50470.94196	SW1	15.84	2.69	1.00	
"EXO 0748-676"	50471.17759	SW1	14.16	6.19	1.00	
"GX 17+2"	50487.10866	XPa	11.96	0.12	-1.00	
"4U 1705-44"	50495.94710	XPa	42.52	1.24	2.00	
"4U 1636-536"	50502.41489	XPa	54.83	1.59	1.00	
"Aql X-1"	50502.73269	SW2	131.98	30.33	1.96	
"Aql X-1"	50503.34620	SW2	124.14	28.65	1.96	
"Aql X-1"	50504.01785	XPa	0.94	0.30	-1.00	
"SLX 1744-300"	50505.04978	XPa	17.72	2.59	1.00	
"Aql X-1"	50508.97678	XPa	119.27	2.20	2.00	
"4U 1728-34"	50514.19907	SW2	84.19	41.53	1.88	
"KS 1731-260"	50514.20784	SW2	106.46	44.86	1.96	
"4U 1812-12"	50519.22093	SW1	146.49	23.54	2.00	
"4U 1728-34"	50520.46689	SW2	93.47	31.17	1.90	
"4U 1728-34"	50520.69324	SW2	109.43	36.54	1.89	
"4U 1728-34"	50520.88283	SW2	98.69	35.56	1.90	
"4U 1728-34"	50521.10343	SW2	95.96	32.26	1.87	
"KS 1731-260"	50521.53529	SW2	54.56	18.94	1.83	
"4U 1728-34"	50521.75981	SW2	127.51	47.88	1.90	
"4U 1722-30"	50521.80391	SW2	72.31	12.25	2.00	
"4U 1728-34"	50521.96913	SW2	95.49	45.87	1.84	
"4U 1705-44"	50523.54708	SW2	17.69	6.02	1.28	
"4U 1705-44"	50523.89667	SW2	38.57	10.81	1.13	
"4U 1705-44"	50524.10499	SW2	27.32	8.65	1.12	
"4U 1705-44"	50524.20600	SW2	37.37	9.45	1.11	
"4U 1728-34"	50525.11378	SW1	92.94	20.04	1.84	
"1A 1742-294"	50525.17564	SW1	15.30	4.42	1.12	
"GS 1826-24"	50525.18092	SW1	40.25	10.91	1.00	
"KS 1731-260"	50525.18495	SW1	107.64	20.64	1.87	
"XTE J1709-267"	50525.21056	SW1	134.30	105.63	1.29	
"4U 1728-34"	50525.31675	SW1	80.52	12.26	1.85	
"GS 1826-24"	50525.42662	SW1	45.62	20.25	1.00	
"SAX J1750.8-2900"	50525.48149	SW1	23.73	7.28	1.04	
"1A 1742-294"	50525.63389	SW1	54.71	7.01	1.49	
"KS 1731-260"	50525.74719	SW1	55.77	11.32	1.75	
"1A 1742-294"	50525.84120	SW1	32.27	8.99	1.22	
"SLX 1744-300"	50525.85422	SW1	9.74	4.89	1.40	
"GS 1826-24"	50525.91786	SW1	25.58	7.76	1.00	
"4U 1728-34"	50525.91899	SW1	97.94	24.68	1.90	
"KS 1731-260"	50526.02898	SW1	49.63	7.88	1.83	
"1A 1742-294"	50526.04409	SW1	18.32	5.71	1.19	
"4U 1728-34"	50526.11179	SW1	103.85	17.85	1.89	
"GS 1826-24"	50526.16445	SW1	45.02	13.45	1.00	
"1A 1742-294"	50526.17805	SW1	34.19	11.30	1.12	
"4U 1702-429"	50526.18830	SW1	67.65	27.86	1.73	
"SAX J1750.8-2900"	50526.25674	SW1	45.19	11.02	1.34	
"4U 1722-30"	50526.31056	SW1	76.79	12.40	2.00	
"4U 1728-34"	50526.34965	SW1	73.59	13.71	1.84	
"SAX J1750.8-2900"	50526.42771	SW1	46.77	7.84	1.35	
"4U 1728-34"	50526.56446	SW1	85.98	13.47	1.86	
"SAX J1750.8-2900"	50526.62035	SW1	36.78	6.21	1.34	
"KS 1731-260"	50526.62828	SW1	41.16	6.79	1.59	
"GS 1826-24"	50526.65103	SW1	37.92	15.16	1.00	
"4U 1728-34"	50526.79335	SW1	82.34	13.89	1.85	
"SAX J1750.8-2900"	50526.82720	SW1	69.36	18.53	1.44	
"GS 1826-24"	50526.89687	SW1	42.43	15.05	1.00	
"4U 1728-34"	50526.98552	SW1	78.85	12.92	1.74	
"KS 1731-260"	50527.05420	SW1	71.92	11.74	1.88	
"4U 1722-30"	50527.18057	SW1	63.72	8.95	2.00	
"4U 1728-34"	50527.38448	SW1	76.33	16.10	1.62	
"GS 1826-24"	50527.38489	SW1	38.14	5.71	1.00	
"SAX J1750.8-2900"	50527.38797	SW1	42.64	6.97	1.26	
"XB 1832-330"	50527.62407	SW1	32.80	10.66	1.03	
"XTE J1709-267"	50527.62444	SW1	19.07	6.55	1.03	
"SAX J1750.8-2900"	50527.63415	SW1	31.89	5.20	1.14	
"KS 1731-260"	50527.64357	SW1	56.35	8.75	1.82	
"1A 1742-294"	50527.71336	XPa	38.78	1.62	2.00	
"1A 1742-294"	50527.71337	SW1	35.06	5.19	2.00	
"1A 1742-294"	50528.83850	XPa	16.27	0.79	1.00	
"GS 1826-24"	50530.33860	SW1	63.14	29.65	1.00	
"GS 1826-24"	50530.58568	SW1	29.37	9.84	1.00	
"KS 1731-260"	50530.59516	SW1	51.00	7.67	1.83	
"1A 1742-294"	50530.77458	SW1	16.26	4.91	1.06	
"4U 1702-429"	50530.79852	SW1	60.27	15.17	1.39	
"4U 1728-34"	50531.78478	SW1	49.03	17.07	1.54	
"1A 1742-294"	50531.78778	SW1	21.97	6.93	1.15	
"GS 1826-24"	50531.81242	SW1	42.91	8.39	1.00	
"SLX 1744-300"	50531.83748	XPa	21.68	2.66	1.00	
"1A 1742-294"	50531.93073	SW1	24.34	7.18	1.18	
"4U 1728-34"	50531.98163	SW1	90.47	13.42	1.88	
